REGION,EMISSION,YEAR,VALUE
"SC","CO2",2019,150.147789719474
"SC","CO2",2020,105.52277032904
"SC","CO2",2021,107.971019436549
"SC","CO2",2022,128.987375827605
"SC","CO2",2023,153.255978628817
"SC","CO2",2024,155.004146329676
"SC","CO2",2025,145.403603514277
"SC","CO2",2026,145.025336646716
"SC","CO2",2027,144.755937040739
"SC","CO2",2028,144.593820157363
"SC","CO2",2029,144.538313003082
"SC","CO2",2030,87.8597575560335
"SC","CO2",2031,88.0165147404145
"SC","CO2",2032,88.2794665085682
"SC","CO2",2033,88.6489976079874
"SC","CO2",2034,89.1257698687756
"SC","CO2",2035,89.7107090362811
"SC","CO2",2036,90.4049989823862
"SC","CO2",2037,45.8267090321119
"SC","CO2",2038,46.7443759490879
"SC","CO2",2039,47.7766057623071
"SC","CO2",2040,48.9256987401191
"SC","CO2",2041,50.1942350938858
"SC","CO2",2042,51.5850820997012
"SC","CO2",2043,53.1014163318332
"SC","CO2",2044,54.7467138554958
"SC","CO2",2045,56.5247597358136
"SC","CO2",2046,58.4396800937915
"SC","CO2",2047,60.4959101065174
"SC","CO2",2048,62.6982387156547
"SC","CO2",2049,65.0518043270881
"SC","CO2",2050,67.5621183933571
"STC","CO2",2019,334.293635651522
"STC","CO2",2020,219.211632653808
"STC","CO2",2021,265.482464743761
"STC","CO2",2022,344.070263800718
"STC","CO2",2023,363.959600083723
"STC","CO2",2024,331.570523356453
"STC","CO2",2025,343.727731792264
"STC","CO2",2026,337.509934532404
"STC","CO2",2027,331.612077722339
"STC","CO2",2028,326.018171299008
"STC","CO2",2029,320.713022756537
"STC","CO2",2030,172.724553616775
"STC","CO2",2031,167.780534496967
"STC","CO2",2032,163.08429903912
"STC","CO2",2033,158.623448855257
"STC","CO2",2034,154.386220816362
"STC","CO2",2035,150.361436404985
"STC","CO2",2036,135.192622950153
"STC","CO2",2037,131.561388459279
"STC","CO2",2038,128.112302332685
"STC","CO2",2039,124.836254009218
"STC","CO2",2040,121.72459422523
"STC","CO2",2041,62.0285359296939
"STC","CO2",2042,59.2100728808659
"STC","CO2",2043,56.5325287432875
"STC","CO2",2044,53.9888579848594
"STC","CO2",2045,51.5723730810714
"STC","CO2",2046,49.27671932519
"STC","CO2",2047,47.0958375655905
"STC","CO2",2048,45.024009811803
"STC","CO2",2049,43.0557647066021
"STC","CO2",2050,41.1859393060613
"IS","CO2",2019,30.0274330773862
"IS","CO2",2020,18.3658048951741
"IS","CO2",2021,20.6702227389901
"IS","CO2",2022,32.318648678847
"IS","CO2",2023,32.3413513813082
"IS","CO2",2024,34.6356903000781
"IS","CO2",2025,34.6608184113129
"IS","CO2",2026,34.6323150274296
"IS","CO2",2027,34.6052953431544
"IS","CO2",2028,34.5796843384297
"IS","CO2",2029,34.55541206473
"IS","CO2",2030,34.532411803221
"IS","CO2",2031,34.5095087306574
"IS","CO2",2032,34.4877552631942
"IS","CO2",2033,34.46709318625
"IS","CO2",2034,0.409917301193001
"IS","CO2",2035,0.391276538510999
"IS","CO2",2036,0.373572093452
"IS","CO2",2037,0.356756408399001
"IS","CO2",2038,0.340785272009999
"IS","CO2",2039,0.325616473127999
"IS","CO2",2040,0.316276790372704
"IS","CO2",2041,0.297454707854999
"IS","CO2",2042,0.284387446260999
"IS","CO2",2043,0.271974234793999
"IS","CO2",2044,0.260180299077999
"IS","CO2",2045,0.248977051477999
"IS","CO2",2046,0.238333704174999
"IS","CO2",2047,0.228222624474999
"IS","CO2",2048,0.218617367723001
"IS","CO2",2049,0.209492644806
"IS","CO2",2050,0.200823359342
"FL","CO2",2019,1.361502
"FL","CO2",2020,0.907668
"FL","CO2",2021,1.134585
"FL","CO2",2022,1.361502
"FL","CO2",2023,1.361502
"FL","CO2",2024,1.588419
"FL","CO2",2025,1.588419
"FL","CO2",2026,1.588419
"FL","CO2",2027,1.588419
