REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRDIE",2019,0.198186193556571
"SC","PWRDIE",2020,0.198186193556571
"SC","PWRDIE",2021,0.198186193556571
"SC","PWRDIE",2022,0.198186193556571
"SC","PWRDIE",2023,0.198186193556571
"SC","PWRDIE",2024,0.198186193556571
"SC","PWRDIE",2025,0.198186193556571
"SC","PWRDIE",2026,0.2774606709792
"SC","PWRDIE",2027,0.2774606709792
"SC","PWRDIE",2028,0.2774606709792
"SC","PWRDIE",2029,0.2774606709792
"SC","PWRDIE",2030,0.2774606709792
"SC","PWRDIE",2031,0.2774606709792
"SC","PWRDIE",2032,0.2774606709792
"SC","PWRDIE",2033,0.2774606709792
"SC","PWRDIE",2034,0.0792744774226291
"SC","PWRDIE",2035,0.0792744774226291
"SC","PWRDIE",2036,0.0792744774226291
"SC","PWRDIE",2037,0.0792744774226291
"SC","PWRDIE",2038,0.0792744774226291
"SC","PWRDIE",2039,0.0792744774226291
"SC","PWRDIE",2040,0.0792744774226291
"SC","PWRWND",2019,0.168336
"SC","PWRWND",2020,0.164784
"SC","PWRWND",2021,0.34944
"SC","PWRWND",2022,0.341848
"SC","PWRWND",2023,0.334152
"SC","PWRWND",2024,0.32656
"SC","PWRWND",2025,0.318968
"SC","PWRWND",2026,0.311272
"SC","PWRWND",2027,0.30368
"SC","PWRWND",2028,0.296088
"SC","PWRWND",2029,0.288392
"SC","PWRWND",2030,0.2808
"SC","PWRWND",2031,0.2756
"SC","PWRWND",2032,0.2704
"SC","PWRWND",2033,0.204
"SC","PWRWND",2034,0.2
"SC","PWRWND",2035,0.196
"SC","PWRWND",2036,0.192
"SC","PWRWND",2037,0.188
"SC","PWRWND",2038,0.184
"SC","PWRWND",2039,0.18
"SC","PWRWND",2040,0.176
"SC","PWRWND",2041,0.172
"SC","PWRWND",2042,0.168
"SC","PWRWND",2043,0.164
"SC","PWRWND",2044,0.112
"SC","PWRWND",2045,0.1092
"SC","PWRSOL",2019,0.0002175
"SC","PWRSOL",2020,0.01701
"SC","PWRSOL",2021,0.057280608
"SC","PWRSOL",2022,0.055159104
"SC","PWRSOL",2023,0.0530376
"SC","PWRSOL",2024,0.050916096
"SC","PWRSOL",2025,0.048794592
"SC","PWRSOL",2026,0.046673088
"SC","PWRSOL",2027,0.044551584
"SC","PWRSOL",2028,0.04243008
"SC","PWRSOL",2029,0.040308576
"SC","PWRSOL",2030,0.038187072
"SC","PWRSOL",2031,0.0379749216
"SC","PWRSOL",2032,0.0377627712
"SC","PWRSOL",2033,0.0375506208
"SC","PWRSOL",2034,0.0373384704
"SC","PWRSOL",2035,0.03712632
"SC","PWRSOL",2036,0.0369141696
"SC","PWRSOL",2037,0.0367020192
"SC","PWRSOL",2038,0.0364898688
"SC","PWRSOL",2039,0.0362777184
"SC","PWRSOL",2040,0.036065568
"SC","PWRSOL",2041,0.0358534176
"SC","PWRSOL",2042,0.0355152672
"SC","PWRSOL",2043,0.0353038668
"SC","PWRSOL",2044,0.0350924664
"SC","PWRSOL",2045,0.034881066
"SC","PWRSOL",2046,0.0346696656
"SC","PWRSOL",2047,0.0344582652
"SC","PWRSOL",2048,0.0342468648
"SC","PWRSOL",2049,0.0340354644
"SC","PWRSOL",2050,0.024224064
"SC","PWRSOLDIST",2019,2.67347166148001e-05
"SC","PWRSOLDIST",2020,0.000672
"SC","PWRSOLDIST",2021,0.000648
"SC","PWRSOLDIST",2022,0.000624
"SC","PWRSOLDIST",2023,0.0006
"SC","PWRSOLDIST",2024,0.000576
"SC","PWRSOLDIST",2025,0.000552
"SC","PWRSOLDIST",2026,0.00101407545780276
"SC","PWRSOLDIST",2027,0.001134
"SC","PWRSOLDIST",2028,0.00108
"SC","PWRSOLDIST",2029,0.001026
"SC","PWRSOLDIST",2030,0.000972
"SC","PWRSOLDIST",2031,0.00148515960229114
"SC","PWRSOLDIST",2032,0.0014952
"SC","PWRSOLDIST",2033,0.0014868
"SC","PWRSOLDIST",2034,0.0014784
"SC","PWRSOLDIST",2035,0.00147
"SC","PWRSOLDIST",2036,0.00192489959626561
"SC","PWRSOLDIST",2037,0.0019722
"SC","PWRSOLDIST",2038,0.0019608
"SC","PWRSOLDIST",2039,0.0019494
"SC","PWRSOLDIST",2040,0.001938
"SC","PWRSOLDIST",2041,0.00249278185263515
"SC","PWRSOLDIST",2042,0.00247803166415802
"SC","PWRSOLDIST",2043,0.00246328147568089
"SC","PWRSOLDIST",2044,0.00244853128720376
"SC","PWRSOLDIST",2045,0.00243378109872663
"SC","PWRSOLDIST",2046,0.00302378863781187
"SC","PWRSOLDIST",2047,0.00300535090221546
"SC","PWRSOLDIST",2048,0.00298691316661905
"SC","PWRSOLDIST",2049,0.00296847543102263
"SC","PWRSOLDIST",2050,0.00295003769542622
"SC","TXD_neta",2019,60.5999903333583
"SC","TXD_neta",2020,56.9639903333583
"SC","TXD_neta",2021,56.9639903333583
"SC","TXD_neta",2022,63.1292207050226
"SC","TXD_neta",2023,65.733832272439
